,Titulares,Texto,Otros_datos
269,"DJ Nano, el favorito de los Borbón: ""La Reina me presentó al Rey, porque ella sabía muy bien quién era yo""","El músico argentino creció viendo spaghetti western y se evadía de la realidad fumando porros. Presenta en El Hormiguero un disco con versiones de Raphael, Julio Iglesias o Alejandro Sanz.","noticia
porcentaje
Coincidencia 81%
31/05/2021ANDREA M. ROSA DEL PINO"
270,"Carlos Saura: ""Rosalía podría ser la perfecta heredera de Lola Flores""","ENTREVISTA Colega de Froilán, amigo de Victoria Federica","noticia
porcentaje
Coincidencia 76%
31/05/2021LUIS MARTÍNEZ"
271,"Emilio Aragón: ""Ahora lo que quiero hacer es llegar a casa para tirarme al suelo con mis tres nietos""","José Luis Garaña de los Cobos presenta su libro 'Al otro lado de la cabina', en el que revela el lado B de la fama: una infancia dolorosa, las largas giras internacionales y cómo la música le salvó la vida.","noticia
porcentaje
Coincidencia 79%
31/05/2021ANDREA M. ROSA DEL PINO"
272,"Muere B. J. Thomas, cantante de 'Raindrops keep fallin' on my head', banda sonora de 'Dos Hombres y un Destino'",El cineasta presenta sus 'fotosaurios' (fotos modificadas) de la Faraona mientras tiene pendiente de estreno una película y un documental,"noticia
porcentaje
Coincidencia 79%
30/05/2021AFP"
273,La española que enseñó a Maria Callas a cantar... y a tener ricos amantes,"Aunque asegura que está convertido en un 'abuelo', el mítico presentador regresa con más vitalidad que nunca con 'B.S.O.'. Un programa lleno de arte, música y danza en Movistar Plus.","noticia
porcentaje
Coincidencia 74%
30/05/2021JAVIER ORTEGA"
274,"Skate hero, el musical que rinde homenaje a Ignacio Echeverría, el 'héroe del monopatín' fallecido en el atentado en Londres de 2017","Ganó cinco premios Grammy entre 1977 y 1981, y se dio a conocer en 1966 con una versión de 'I'm so lonesome I could cry' del cantante country Hank Williams y luego con la canción 'Hooked on a feeling' en 1968","noticia
porcentaje
Coincidencia 84%
29/05/2021CARLOS FRESNEDA"
275,"Coronavirus España hoy, última hora | Estos son los grupos de menores entre 12 y 15 años que se beneficiarán de la aprobación de la EMA","Un documental recupera la figura de la soprano turolense Elvira de Hidalgo, que descubrió, formó y aconsejó a la 'diva divina' desde su puesto de catedrática vitalicia del conservatorio de La Scala de Milán, ciudad en la que murió tres años después que su protegida.","noticia
porcentaje
Coincidencia 70%
29/05/2021ISABEL VELLOSO , JAVIER MUNERA"
276,Viajar de oídas: los mejores pódcasts viajeros y sus protagonistas para inspirarte a elegir el próximo destino,"La obra recrea las 24 horas previas al último y memorable gesto del español , que corrió sin pensárselo a ayudar a las víctimas tras el atentado","noticia
porcentaje
Coincidencia 70%
29/05/2021MARTA GONZÁLEZ-HONTORIA"
277,"PhotoEspaña 2021, presente, pasado y futuro del arte fotográfico","En la séptima 'puesta al día' de la hoja de ruta de inmunización ya se incluyen el colectivo entre 40 y 49 años de edad, para el que muchas comunidades ya han decidido empezar en junio","noticia
porcentaje
Coincidencia 70%
29/05/2021ISMAEL MARINERO"
278,"Bondadosísima corrida de Garcigrande: El Juli y Manzanares, a placer",Durante la pandemia muchos trotamundos han saciado su sed de viajes y aventura con los cascos puestos. Estos son algunos de los pódcast que le ayudarán a elegir tu próxima escapada.,"noticia
porcentaje
Coincidencia 70%
28/05/2021ZABALA DE LA SERNA"
279,"Gunda, la cerda que actuaba mejor que Meryl Streep","El pasado miércoles se presentó en el Círculo de Bellas Artes un manifiesto que reclamaba la creación de un gran centro público dedicado a la fotografía, capaz de difundir y proteger el patrimonio visual, estimular la creación y contribuir a reactivar el sector. Hasta la creación de ese centro, si...","noticia
porcentaje
Coincidencia 70%
28/05/2021luis martínez"
280,"El primer fichaje del nuevo Real Madrid: David Alaba, entre la religión, la música y el fútbol","Cosechan cuatro orejas del preciso y virtuoso envío de Justo Hernández, que hasta por sus faltas sirvió para el festín; Paco Ureña también sumó un trofeo","noticia
porcentaje
Coincidencia 81%
28/05/2021ABRAHAM ROMERO"
281,"Sergio Lope o la mística del flamenco jazz: ""¿Apropiación cultural? El arte no es de nadie""","Viktor Kossakovsky convierte un documental sobre la vida de una gorrina en un acontecimiento cinematográfico. 'Una sociedad no se puede basar en un acto de muerte', dice el director","noticia
porcentaje
Coincidencia 80%
28/05/2021Juan Diego Madueño"
282,"El ex modelo y cantante que ha convencido a su novia, Jazmín Grace Grimaldi, para formar un dúo musical","El club blanco firma por cinco temporadas al defensa austríaco, que llega gratis tras terminar contrato con el Bayern. De padre nigeriano (príncipe y músico) y madre filipina (ex Miss y enfermera), su vida ha sido multicultural.","noticia
porcentaje
Coincidencia 81%
28/05/2021LUIS FERNANDO ROMO"
283,Cuál es el único regalo (y quién su emisor) que ha recibido la Reina Doña Sofía,El músico andaluz ha presentado su segundo disco en el Teatro Real. Ser de luz es una apuesta por nuevos sonidos.,"noticia
porcentaje
Coincidencia 70%
28/05/2021MARINA PINA"
284,"Coronavirus España hoy, última hora | Canarias no exigirá PCR a viajeros vacunados o que hayan pasado el Covid","Aunque no tiene derechos dinásticos según el artículo 10 de la ley monegasca, Jazmin Grace Grimaldi (29), la hija que Alberto II de Mónaco (63) tuvo fuera del matrimonio tras un breve romance en California con la ex camarera Tamara Rotolo (59), es una princesa para el pueblo americano. La joven...","noticia
porcentaje
Coincidencia 70%
28/05/2021ISABEL VELLOSO , JAVIER MUNERA , ANA CARRASCO"
285,"ALDI lanza unos AirPods de 10 euros, ¿merecen la pena sus auriculares inalámbricos?",La madre de Felipe VI tan sólo recibió un presente en 2020. La pandemia y su paso a un lado condicionan su vida pública,"noticia
porcentaje
Coincidencia 72%
28/05/2021Daniel J. Ollero"
286,"Fran Rozzano: ""Quiero que España sea consciente del arte de tantos que estamos empezando""",Tras cinco millones de vacunados con AstraZeneca en el país hay 20 casos de trombos con la primera dosis y cuatro fallecidos,"noticia
porcentaje
Coincidencia 77%
28/05/2021CRISTINA LUIS , CARLOS ONETTI (Vídeo)"
287,El eterno retorno de la guitarra,"Por ese precio, es difícil resistirse a los auriculares Bluetooth de la cadena de supermercados, pues su diseño evoca claramente a los AirPods de Apple","noticia
porcentaje
Coincidencia 79%
28/05/2021jaime vicioso"
288,Cinco barberías (modernas) para convertirse en un dandi,"Un barco, las aguas de Miami y seis amigos sonriendo a cámara. Entre ellos Nicky Jam, Luis Fonsi o Daddy Yankee. También un español: Fran Rozzano (Cádiz, 1995).","noticia
porcentaje
Coincidencia 70%
28/05/2021ROCÍO NAVARRO"
289,"Walter Kolm: ""Las estrellas de la música urbana son chicos sanos. Ya nadie se te muere por sobredosis como en el rock de los 80""","Las ventas del instrumento musical más icónico de la historia, pese a las predicciones de algunos expertos, no han parado de crecer en la última década, multiplicándose exponencialmente a partir de los meses más duros de pandemia.","noticia
porcentaje
Coincidencia 86%
28/05/2021LUIS ALEMANY"
290,'The Lancet' recoge el éxito del ensayo español sobre conciertos en tiempos de Covid,"Las barbas siguen de moda. Y los rituales de afeitado, a la orden del día. Los centros estéticos masculinos se renuevan y el estilo old school deja paso a la vanguardia del siglo XXI.","noticia
porcentaje
Coincidencia 73%
28/05/2021PERE ÍÑIGO"
291,"Emilio Aragón, el retorno del rey de la televisión: ""Llegué a ser un hámster dentro de una rueda por la ansiedad""","Buenos Aires, 1968. El mánager más influyente en la explosión del pop urbano/latino, desde la generación de Carlos Vives hasta la de Maluma, ha lanzado, junto a algunos de sus clientes, la productora WK Records.","noticia
porcentaje
Coincidencia 86%
27/05/2021PABLO R. ROCES"
292,"Muere atropellado Kevin Clark, el niño que tocaba la batería en School of Rock","La prestigiosa revista científica avala con su publicación los resultados de este estudio, el primero de este tipo, realizado por la Fundación Lucha contra el Sida y las Enfermedades Infecciosas y el Hospital Universitario Germans Trias i Pujol de Badalona.","noticia
porcentaje
Coincidencia 81%
27/05/2021EL MUNDO"
293,"Simone Biles, audacia sin premio","Tras 14 años fuera de las cámaras, el 'showman' regresa de la mano de Movistar + con su programa 'BSO' el próximo 2 de junio","noticia
porcentaje
Coincidencia 73%
27/05/2021Javier Sánchez"
294,Game Builder Garage: ahora Nintendo quiere que hagas tú los videojuegos,El actor de 32 años fue golpeado por un coche mientras circulaba con su bicicleta por las calle de Chicago en plena madrugada,"noticia
porcentaje
Coincidencia 72%
27/05/2021BRUNO TOLEDANO"
295,"Los chollos del día en Amazon: una aspiradora sin cable, una powerball, una cámara de vigilancia, pulpitos reversibles...","La estadounidense sigue haciendo historia ante la escasa ponderación de los jueces. 'Se penaliza el riesgo', dice Lucía Guisado, seleccionadora española","noticia
porcentaje
Coincidencia 80%
27/05/2021BAZAR"
296,Casting por TikTok para buscar a los protagonistas de We Will Rock You,"Nintendo lanzará un juego para Switch que, tras darte unas muy visuales lecciones, te anima a crear tus propios videojuegos","noticia
porcentaje
Coincidencia 86%
27/05/2021VIRGINIA GÓMEZ"
297,"Gonzalo de Borbón, el primo juerguista del Rey Juan Carlos que encontró en la noche el escape a su triste infancia","Tecnología, hogar, moda, belleza, deporte...Descubre cuáles son las mejores ofertas y descuentos de hasta más de la mitad de su precio que puedes encontrar hoy en Amazon en las mejores marcas de todas las categorías.","noticia
porcentaje
Coincidencia 70%
27/05/2021CONSUELO FONT"
298,"Ana Torroja: ""Nadie entiende que Mecano no se haya vuelto a juntar""","El musical con las canciones de Queen, renovado, aterrizará a mediados de octubre en el Gran Teatro Príncipe Pío de Madrid","noticia
porcentaje
Coincidencia 86%
27/05/2021IÑAKO DÍAZ-GUERRA"
299,Se buscan jóvenes artistas para mostrar sus obras de forma remunerada,"Gonzalo de Borbón, duque de Aquitania, de cuya muerte se cumplen este 27 de mayo 21 años, fue uno de los personajes icónicos del papel cuché en nuestro país, y vivió sus momentos estelares en los inicios de la democracia. Hijo del infante don Jaime, que renunció a sus derechos a la Corona por su...","noticia
porcentaje
Coincidencia 73%
27/05/2021M. CANALES"
300,"Pablo, el hijo de la Infanta Cristina e Iñaki Urdangarin, un tiktoker con pocos vídeos pero mucho éxito","Tras el parón de la pandemia, Ana Torroja coge velocidad: interpreta la canción principal de Paraíso, la serie ambientada, cómo no, en los 90 que Movistar estrena el 4 de junio, y se prepara para un verano lleno de conciertos. 'En los 80 daba igual de qué barrio eras o a quién votabas; hoy quieren...","noticia
porcentaje
Coincidencia 70%
27/05/2021LUIS FERNANDO ROMO"
301,Hacienda multa a Miguel Bosé por desgravar jamones y fisioterapia,"El Ayuntamiento de Madrid convoca a creadores de toda España que optarán a exponer sus trabajos en el Festival La Sub25, dentro de la programación de Veranos de la Villa.","noticia
porcentaje
Coincidencia 76%
26/05/2021EFE"
302,"Paraíso: tráiler, fecha de estreno y todo lo que sabemos de la serie a la que comparan con Stranger Things","No hay como apellidarse Borbón para que el éxito toque a tu puerta. Pablo Nicolás Sebastián de Todos los Santos Urdangarin y Borbón (20), segundo hijo de Iñaki Urdangarin (53) y la Infanta Cristina (55), ha entrado con fuerza en la red social TikTok con tan solo dos vídeos publicados con el nombre...","noticia
porcentaje
Coincidencia 70%
26/05/2021TRESB"
303,"Los chollos del día en Amazon: un Xiaomi TV Stick, aloe vera, una sartén doble para hacer tortilla de patatas, Airpods al 30%...",El cantante y actor Miguel Bosé deberá pagar a la Agencia Tributaria una multa de más de 23.000 euros por la liquidación de impuestos de 2010 y 2011,"noticia
porcentaje
Coincidencia 79%
26/05/2021BAZAR"
304,"Por qué Brad Pitt, Julia Roberts o George Clooney no tienen una estrella en el Paseo de la Fama pero sí puede tenerla tu madre","La ficción, ambientada en un pueblo de la costa de Levante en 1992, contará con elementos fantásticos y de misterio","noticia
porcentaje
Coincidencia 70%
26/05/2021BAZAR"
305,"Muere William Shakespeare, el primer británico vacunado contra el Covid-19","Tecnología, hogar, moda, belleza, deporte... Echa un vistazo a nuestra selección de los mejores descuentos que puedes encontrar en Amazon","noticia
porcentaje
Coincidencia 72%
26/05/2021EL MUNDO"
306,"Cruïlla, un festival como los de antes: prueba de antígenos en la puerta y permiso para bailar y abrazarse",Aquellos artistas que quieren tener su propia estrella en este mítico lugar de Hollywood tienen que cumplir unos requisitos... y muchos deciden no hacerlo,"noticia
porcentaje
Coincidencia 84%
26/05/2021LETICIA BLANCO"
307,Fuel Fandango protagoniza en Madrid un show muy especial,William Shakespeare fue la segunda persona en el mundo en recibir la primera vacuna contra el coronavirus. Ha muerto a los 81 años,"noticia
porcentaje
Coincidencia 84%
26/05/2021JAVIER ESTRADA"
308,"Tini Stoessel, sobre su ""reguetón feminista"": ""Es un intento de normalizar que cada vez somos más""","El Cruïlla hará 75.000 tests en tres días para que sus asistentes puedan disfrutar de un festival como lo de antes, aunque con mascarilla. El precio de una prueba será de 8,5 euros y el 'pack' de tres, 15 euros.","noticia
porcentaje
Coincidencia 86%
26/05/2021ANDREA M. ROSA DEL PINO"
309,"Violaciones hasta los 14 años, la infancia en una secta... Los duros temas que los famosos revelan en la serie de Oprah Winfrey y el príncipe Harry",Fuel Fandango dará un concierto muy especial el 3 de junio en Florida Retiro que podrá seguirse por streaming con unas entradas que incluyen un pack de productos Aperol Spritz,"noticia
porcentaje
Coincidencia 72%
26/05/2021FÁTIMA ELIDRISSI"
310,"Aitana: ""Molaría no tener que pedir a un chico que te acompañe por la noche""","La reconocida artista argentina conversa con LOC sobre su vida después de 'Violetta', su éxito como cantante y su amistad con Alejandro Sanz.","noticia
porcentaje
Coincidencia 80%
26/05/2021DARÍO PRIETO"
311,¿Rototom con 10.000 personas sin mascarillas?,'The Me You Can't See' es una docuserie donde varias estrellas han confesado cómo han lidiado con las terribles experiencias que han vivido.,"noticia
porcentaje
Coincidencia 74%
25/05/2021E.M."
312,"El cámara que grabó el asalto a Ceuta y que vivió en sus propias carnes, con 9 años, la Marcha Verde en el Sáhara","San Clemente de Llobregat, 1999. La más triunfadora de la edición más triunfal de Operación Triunfo presenta una nueva canción, Ni una más, sobre la violencia machista. Para su videoclip, Aitana ha contado con la colaboración de mujeres como Sara Carbonero, Cristina Pedroche, Mala Rodríguez o Lola Í...","noticia
porcentaje
Coincidencia 70%
25/05/2021LAURA GARÓFANO"
313,"Dua Lipa, The Strokes, Gorillaz, Lorde, Tyler The Creator y Nick Cave estarán en Primavera Sound 2022","El festival, previsto del 16 al 22 de agosto en Benicàssim con un cartel al 50% de lo que sería habitual, apuesta por esta opción si las medidas sanitarias lo permiten","noticia
porcentaje
Coincidencia 74%
25/05/2021EFE"
314,"En vilo por los burdeles clandestinos de Salamanca: ""Los clientes hacen la ronda del 'barrio rojo' de Madrid""","Hijo de legionario, Salva Camacho nació en la capital del Sáhara Occidental. Autor ahora de las imágenes más impactantes, dice que 'se veía venir'","noticia
porcentaje
Coincidencia 70%
25/05/2021DANIEL SOMOLINOS"
315,"Dulce Pontes: ""La corrupción hace que la gente sea presa fácil para el discurso radical""","Pavement, Tame Impala, The National, Jorja Smith, Interpol, Megan Thee Stallion, Yeah Yeah Yeahs, Disclosure o Jamie XX completan el cartel, que se extenderá entre los días 2 y 12 de junio de 2022","noticia
porcentaje
Coincidencia 80%
25/05/2021SILVIA MORENO"
316,Ocho propuestas culturales para cerrar el mes de mayo,"SEGURIDAD ""Acude gente de mala calaña"", dice un vecino","noticia
porcentaje
Coincidencia 74%
25/05/2021M. CANALES"
317,"Velázquez Tech, un museo para redescubrir a las meninas a través de la tecnología",Dos prostíbulos instalados en chalets provocan 'sobresaltos' y 'miedo' entre los vecinos de Fuente del Berro: 'Hemos tenido que desactivar nuestro timbre por las noches...',"noticia
porcentaje
Coincidencia 73%
25/05/2021VIRGINIA GÓMEZ"
318,La demoledora historia a la que nadie querría engancharse,"Dulce Pontes. Montijo, Portugal, 1969. Hace justo 30 años, cuando empezaba su carrera, representó a su país en el Festival de Eurovisión. Quedó octava. Desde entonces, no ha parado. Pronto se enrolará en una gira europea. Y antes, el 5 de junio, actuará en el Festival de Úbeda.","noticia
porcentaje
Coincidencia 70%
25/05/2021M. CANALES"
319,"Ramoncín: ""'¡Coño, al final, Ayuso acertó! A lo mejor los equivocados somos nosotros""","Arte Urvanity, la feria que da visibilidad al Nuevo Arte Contemporáneo y cita imprescindible para coleccionistas y aficionados que buscan lo más actual, arranca su quinta edición en su sede del COAM (Hortaleza, 63)","noticia
porcentaje
Coincidencia 86%
24/05/2021ANA DEL BARRIO"
320,José Luis Perales: el hombre sencillo que acumula propiedades y una gran cuenta corriente,"El artista Antonio Azzato ha creado una exhibición inmersiva y sensorial en torno a la gran obra maestra del pintor, con quien se puede interactuar a través de un holograma","noticia
porcentaje
Coincidencia 79%
24/05/2021JAVIER BLÁNQUEZ"
321,El profesor de Primaria que enseña música con Madonna y Michael Jackson,"Basada en hechos reales, 'Los niños de la estación del Zoo' traslada al espectador al Berlín de los años 70, donde un grupo de adolescentes cae en el mundo de las drogas y la prostitución.","noticia
porcentaje
Coincidencia 86%
24/05/2021Elena G.Díez"
322,"Mask Singer 2: Las 15 máscasas, primeras pistas y teorías","Tras ser linchado y absuelto, Ramoncín sigue luchando contra la hipocresía y reivindica a los músicos de verdad. 'La mayoría de los músicos son una panda de hipócritas y cobardes', asegura. Acaba de recibir la Medalla de Oro de Madrid y ha publicado un vinilo de un ...","noticia
porcentaje
Coincidencia 73%
24/05/2021"
323,"El Covid ha provocado ""una crisis devastadora"" en la cultura y el arte, según varios organismos internacionales","A finales de 2019, José Luis Perales anunciaba su gira de despedida. Una gira que, por razones obvias llamadas pandemia, no pudo celebrar en 2020 como tenía previsto, y que pondrá en marcha este 2021. Pero difícilmente puede decir adiós quien siempre va a estar ahí, y es que resultará difícil en el ...","noticia
porcentaje
Coincidencia 83%
24/05/2021PABLO PARDO"
324,"Muere Cristóbal Halffter, el compositor que quiso derribar el aislamiento de la música contemporánea",La Música y Yo es el proyecto interactivo que se imparte en cuatro Comunidades Autónomas e intenta que los alumnos encuentren un significado a este arte,"noticia
porcentaje
Coincidencia 86%
24/05/2021DARÍO PRIETO"
325,"José Feliciano, de crecer entre cucarachas y pasar el sombrero a vivir en una mansión de Connecticut",Antena 3 ha desvelado las 15 máscaras de Mask Singer 2 y cómo se habían creado los disfraces de los nuevos concursantes,"noticia
porcentaje
Coincidencia 74%
24/05/2021LUIS FERNANDO ROMO"
326,Lady Gaga se quedó embarazada tras sufrir una violación con 19 años,"La asistencia a los museos ha caído un 70%, la industria del cine baja un 74% y los ingresos por conciertos se desploman un 80%","noticia
porcentaje
Coincidencia 70%
24/05/2021BANG"
327,"Francesca, Valentina y el ""me quedo"" de Luis Suárez",El músico ha muerto a los 91 años en su casa de Villafranca del Bierzo,"noticia
porcentaje
Coincidencia 70%
23/05/2021CARLOS GUISASOLA"
328,"Urkullu estrena con Ernai la respuesta penal tras su permanente campaña de ""odio"" contra la Policía vasca","Como el cuarto de los 11 hijos de un matrimonio católico latino y sin posibles, José Feliciano (75) hizo caso a su voz interior para que Dios le guiara por los vericuetos de la vida. El cantante nació ciego, pero su agudeza auditiva le permitía escuchar los desagradables pasos de las cucarachas que ...","noticia
porcentaje
Coincidencia 70%
23/05/2021JOSEAN IZARRA"
329,"El cantante de Maneskin, el grupo italiano ganador de Eurovisión, se someterá voluntariamente a un test de drogas",La intérprete se ha negado a hacer pública la identidad de su agresor y ha explicado que se quedó 'congelada' como consecuencia de las traumáticas agresiones.,"noticia
porcentaje
Coincidencia 70%
23/05/2021EL MUNDO | AGENCIAS"
330,Marketing de famosos: La rentabilidad de una cara conocida,"'Gracias Diego, no sólo por ganar sino por cambiar la historia', le dedicó el alcalde Martínez Almeida a Simeone en la ceremonia de entrega del título de Liga.","noticia
porcentaje
Coincidencia 70%
23/05/2021Ángel Peña"
331,"Quién es Naim Darrechi, el tiktoker mallorquín de 19 años que gana una fortuna por un solo post",Los ertzainas aplauden la decisión del Gobierno vasco de denunciar a las juventudes de Sortu que sitúan dentro de la batalla política contra el PNV,"noticia
porcentaje
Coincidencia 70%
23/05/2021ELENA BENAVENTE"
332,"Iñigo Urrechu, el nuevo dueño de Zalacain que disfruta haciendo 'ironmans' y se ganó la confianza de Ronaldo",Damiano David fue acusado en las redes sociales de esnifar cocaína en la Green Room de Eurovisión durante las votaciones después de que se vieran unas imágenes agachándose sobre la mesa,"noticia
porcentaje
Coincidencia 70%
23/05/2021AMAYA GARCÍA"
333,El último adiós al poeta Francisco Brines desde el Palau de la Generalitat,"El fenómeno de los embajadores de marca se diversifica, pero algo no cambia: las empresas gastan ingentes cantidades de dinero en fichar espejos de sí mismas.","noticia
porcentaje
Coincidencia 70%
23/05/2021E.M."
334,"Los chollos de la semana en Amazon: un corrector de ojeras Maybelline, unos Airpods al 30%, una colonia Adidas por 4 euros, una almohada para las piernas...","Naim Darrechi comenzó en la red social en 2016 y, desde entonces, ha acumulado 25,4 millones de seguidores en todo el mundo","noticia
porcentaje
Coincidencia 77%
23/05/2021BAZAR"
335,"Coronavirus España hoy, última hora | Alemania prohíbe viajes desde el Reino Unido por variantes del Covid","El cocinero vasco acaba de reabrir El Cielo de Urrechu y planea hacer lo propio con el emblemático restaurante madrileño en junio. Hablamos con él del oficio, su filosofía y sus prioridades","noticia
porcentaje
Coincidencia 70%
23/05/2021ISABEL VELLOSO | ISABEL MUNERA | ANA CARRASCO"
336,Italia gana Eurovisión 2021,"El escritor será enterrado en el cementerio de Valencia, donde se encuentra el panteón familiar con los restos de sus padres","noticia
porcentaje
Coincidencia 77%
23/05/2021ESTHER MUCIENTES , ANDREA M. ROSA DEL PINO , PABLO R. ROCES"
337,Mil personas bailan al son de Manel en un concierto sin distancias y con mascarilla en Girona,"Tecnología, hogar, moda, belleza, deporte... Echa un vistazo a nuestra selección de los mejores descuentos que puedes encontrar en Amazon este fin de semana","noticia
porcentaje
Coincidencia 76%
22/05/2021EFE"
338,"Rociito, talismán para los favoritos de Eurovisión","El regreso del Reino Unido a la lista se debe a la propagación de la llamada variante india, considerada por los virólogos especialmente agresiva","noticia
porcentaje
Coincidencia 72%
22/05/2021EDUARDO ÁLVAREZ"
339,Tomavistas Extra: reencuentro con la música al aire libre,"En la final de Eurovisión más reñida de las últimas décadas, Italia es el ganador de Eurovisión 2021 con el grupo Maneskin y su Zitti e Buoni","noticia
porcentaje
Coincidencia 84%
22/05/2021"
340,"Felipe Juan Froilán, en el sarao del restaurante madrileño que ningún influencer se quiso perder","Los asistentes al concierto de Manel en Girona tuvieron que acreditar que estaban vacunados, que habían pasado la Covid-19 en los últimos 3 meses o que habían dado negativo en un test de antígenos","noticia
porcentaje
Coincidencia 72%
21/05/2021LOC"
341,Eurovisión 2021: Estos son los 10 clasificados de la primera semifinal,"Muchos espectadores asocian dos de las canciones con más opciones en el festival, las de Francia y Suiza, a Rociíto por la promoción en Telecinco. Los 'memes' más ingeniosos confían en que acompañe en el escenario a Blas Cantó.","noticia
porcentaje
Coincidencia 72%
21/05/2021TRESB"
342,Eurovisión 2021: Estos son los 10 clasificados de la segunda semifinal,"La temporada de festivales de música está en el alambre, como un funambulista que hace equilibrios suspendido en el aire con la esperanza puesta en el ritmo de vacunación, el descenso de la incidencia acumulada y la progresiva retirada de las restricciones. Pero la primavera, con...","noticia
porcentaje
Coincidencia 70%
21/05/2021TRESB"
343,"Måneskin, los rockeros italianos que pasaron de cantar en las calles de Roma a ser favoritos en Eurovisión","El ritmo de la noche madrileña comienza a reactivarse tras el fin del estado de alarma y este jueves ha sido la primera prueba de ello. El restaurante Zielou, ubicado en la Estación de Chamartín, se ha convertido en el place to be capitalino recibiendo a 145 invitados conocidos, en un evento...","noticia
porcentaje
Coincidencia 76%
21/05/2021ANDREA M .ROSA DEL PINO"
344,"Cepeda: ""Muchas chicas cantan y bailan machistadas sin planteárselo""","El ganador de Eurovisión, que este año se celebra en Róterdam, se conocerá en la noche del sábado 22 de mayo","noticia
porcentaje
Coincidencia 86%
20/05/2021CRISTINA GALAFATE"
345,Los grandes perdedores de Eurovisión: de las burlas a Remedios Amaya al gallo de Manel Navarro,Los representantes islandeses competirán por la victoria tras no poder actuar en directo por un positivo en coronavirus,"noticia
porcentaje
Coincidencia 86%
20/05/2021Elena G. Díez"
346,"Muere MC Kevin, gran amigo de Neymar, al caer de un quinto piso mientras trataba de escapar de su mujer, a la que estaba siendo infiel","Tras pasar por X Factor, los romanos lograron captar la atención del público y en solo cinco años de carrera han logrado alcanzar el estatus de estrellas.","noticia
porcentaje
Coincidencia 70%
20/05/2021GTRES / LOC"
347,Mad Cool confirma la cancelación del festival de julio de 2021,"El cantante, ex concursante de Operación Triunfo, comienza este mayo su gira Con los pies en el suelo adaptando el formato a teatros en lugar de a salas. Su intención, pese a que la pandemia le permita un escenario a priori más frío, es 'mostrar toda la carga enérgica e introspectiva que contiene...","noticia
porcentaje
Coincidencia 74%
20/05/2021MARÍA VAQUERO"
348,"El Teatro Real presenta su programación 2021-2022: ""Nos encantaría que Plácido Domingo vuelva a cantar aquí, pero en esta próxima temporada no está previsto""",El libro de Javier Adrados pretende recordar a quienes no triunfaron y hace un recorrido por la historia de este espectáculo desde sus inicios en 1956,"noticia
porcentaje
Coincidencia 76%
20/05/2021DARÍO PRIETO"
349,Marina d'Or seduce al turismo nacional con descuentos del 35%,"Era cantante y, según algunas informaciones, le habría estado siendo infiel a su esposa","noticia
porcentaje
Coincidencia 70%
20/05/2021VÍCTOR NAVARRO"
350,Billy Porter revela que es VIH positivo,La organización ha comunicado que suspende la edición de este año 'por circunstancias de fuerza mayor',"noticia
porcentaje
Coincidencia 70%
20/05/2021GTRES"
351,"Los chollos del día en Amazon: un 'smartwatch' al 64%, unos auriculares Sony, un corrector de ojeras Maybelline, una camiseta Jack & Jones por 5 euros...","Entre nombres como Anna Netrebko y Lang Lang, destaca el regreso de 'Nabucco', 151 años después de su última representación en el coliseo.","noticia
porcentaje
Coincidencia 74%
20/05/2021BAZAR"
352,"Cher: más que una diva recauchutuda, más que un furor sexual indomable y más que una millonaria fortuna",Prepara su reapertura en junio con rebajas ambiciosas en las reservas realizadas hasta el próximo 31 de mayo de la mano de la gestión del grupo GAT,"noticia
porcentaje
Coincidencia 80%
20/05/2021JAVIER BLÁNQUEZ"
353,"Sinead O'Connor revela una ""aterradora"" experiencia con Prince: ""Tuve que huir de su casa en medio de la noche""",El artista estadounidense ha concedido una extensa entrevista en la que ha confesado que sintió mucha vergüenza cuando conoció el diagnóstico,"noticia
porcentaje
Coincidencia 72%
19/05/2021"
354,"Pilar y Margarita, las grandes desconocidas de la famila real en permanente conflicto de lealtades","Tecnología, hogar, moda, belleza, deporte... Echa un vistazo a nuestra selección de los mejores descuentos que puedes encontrar en Amazon","noticia
porcentaje
Coincidencia 70%
19/05/2021Marta Michel"
355,"Los chollos del día en Amazon: una barbacoa sin humos, rosa mosqueta, un repetidor wifi, una almohada para las piernas...","Cuando pensamos en Cher, inmediatamente brota un caudaloso manantial de conceptos clave a cada cual más desorbitado: la cirugía estética como una variante de la escultura moderna, su voraz pasión por el dinero, un furor sexual indomable, una carrera musical y cinematográfica de...","noticia
porcentaje
Coincidencia 74%
19/05/2021BAZAR"
356,El verano con más experiencias en Mas Camarena,"La cantante irlandesa publica sus memorias, 'Rememberings', en las que habla de su relación con el autor de su mayor éxito y las polémicas que han rodeado su vida y su carrera.","noticia
porcentaje
Coincidencia 70%
19/05/2021EL MUNDO"
357,La inmediata diversión de conducir un Maserati MC20,"Nacieron en el exilio y vinieron a España en su juventud, una país que no conocían pero al que estaban decididas a servir. Modernas y rebeldes, así las define Marina Pina en el libro 'Pilar y Margarita', una historia documentada sobre las hermanas del rey Juan Carlos.","noticia
porcentaje
Coincidencia 70%
19/05/2021"
358,"Dvicio: ""En España apoyamos más al artista de fuera que al de casa""","Tecnología, hogar, moda, belleza, deporte... Echa un vistazo a nuestra selección de los mejores descuentos que puedes encontrar en Amazon","noticia
porcentaje
Coincidencia 86%
19/05/2021NOELIA MARÍN"
